미션항목,세부 설명,해시태그,EI,SN,TF,JP
분리수거 하기,그동안 밀린 쓰레기가 있나요? 차근차근 분리수거를 하면서 생각을 정리해보아요.,"단순하게, 시원하게",.,N,T,P
단 음식 먹기,"스트레스를 많이 받았을 때, 단 음식을 먹는 게 기분 전환에 도움이 된대요. 다만, 너무 많이 먹지는 말아요.","달달하게, 맛있게",.,.,F,P
가장 먹고 싶은 음식 먹기,오늘은 평소 가장 먹고 싶었던 음식을 먹어보는 건 어떨까요?,"맛있게, 신나게",.,.,F,P
그동안 사지 못했던 것 쇼핑하러 가기,"이별 때문에 아무것도 못 하고 있다면, 이제는 내가 필요한 것들을 구매해보며, 다시 일상을 회복해보아요.","신나게, 알차게",.,S,.,P
집에만 있지 않기,"집에만 있다보면, 기분이 삭막해질 수 있어요. 바깥에 나가서 기분을 환기시켜보아요.","신나게, 보람차게",E,.,.,P
친구들과 함께 수다떨기,"친구들과 함께 이야기하다보면, 친구들의 에너지를 얻을 수도 있을 거예요.","재밌게, 솔직하게",E,.,.,P
물건 정리하기,물건을 정리하면서 복잡했던 생각도 정리해보아요.,"깔씀하게, 시원하게",E,N,T,J
바쁘게 일하기,"바쁘게 일하다보면, 잡생각이 사라질 거예요.","바쁘게, 집중해서",.,N,T,J
내가 몰입할 수 있는 것 찾아 해보기,"몰입해서 무언가를 일하다보면, 잡생각이 사라질 거예요.","집중해서, 깔끔하게",.,N,T,J
집 청소하기,"이별한 상처가 너무 커서 청소를 못했는데, 집이 너무 더러워졌을 수 있어요. 이번 기회에 깔끔하게 청소도 하고 생각도 정리해보아요.","상쾌하게, 깔끔하게",.,N,T,J
감정을 진정시키기 위한 글쓰기,"글쓰기를 통해 나의 생각을 정리하고, 평소 누군가에게 이야기하지 못했던 진솔한 마음을 표현해봐요.","진솔하게, 진지하게",I,S,T,.
오늘의 명언을 일기장에 따라 적어보기.,"오늘의 명언이 인상깊으셨나요? 하루를 마무리할 때, 일기장에 따라 적어보아요.","깊이있게, 천천히",I,S,T,.
집중할 수 있는 일하기,"본인이 평소에 가장 집중할 수 있었던 일은 무엇인가요? 오늘은 그 일에 집중해보며, 기분을 전환해보는 건 어떨까요?","집중해서, 상쾌하게",.,N,T,.
이별의 아픔을 악기로 연주해보기,"이별 때문에 많이 힘드셨죠? 오늘은, 그 마음을 악기로 연주해보면서 위로해보는 건 어떨까요?","진중하게, 천천히",I,S,F,.
내가 평소에 좋아하는 음악 듣기,"이별 때문에 많이 힘드셨죠? 오늘은, 내가 좋아하는 음악을 들으면서 그 마음을 달래보는 건 어떨까요?","조용하게, 천천히",I,S,F,.
내 마음을 그림으로 표현하기,"이별 때문에 많이 힘드셨죠? 오늘은, 내가 좋아하는 음악을 들으면서 그 마음을 달래보는 건 어떨까요?","솔직하게, 진지하게",I,S,F,.
나의 마음을 달래줄 수 있는 음악 찾아 들어보기,"이별 때문에 많이 힘드셨죠? 오늘은, 나의 마음을 달래줄 수 있는 음악을 찾아보는 건 어떨까요?","진중하게, 천천히",I,S,F,.
꽃 향기 맡으러 가기,"오늘은, 꽃 향기를 맡으면서 기분을 전환해보아요.","향긋하게, 시원하게",I,S,F,.
오늘의 명언을 5초 동안 깊이 생각해보기,"오늘의 명언이 인상깊으셨나요? 그냥 지나치지 말고, 5초 동안 깊이 생각해보아요.","조용하게, 천천히",I,S,F,.
슬픈 노래 듣기,슬픈 노래를 들으면서 나의 감정을 추스려봐요. 혹 울고싶다면 시원하게 울어봐요.,"진중하게, 천천히",.,S,F,.
신나는 노래 듣기,"오늘은 신나는 노래를 들으면서, 기분좋게 하루를 지내보아요.","역동적으로, 빠르게",.,S,F,.
맥주 한 캔 마시기,그동안 술을 너무 많이 마시진 않았나요? 이젠 그 양을 줄여서 딱 한 잔만 마셔봐요.,"시원하게, 절제해서",.,S,F,.
취미활동으로 기분 전환하기,"가만히 있다보면, 내적으로 삭히게 돼요. 취미활동을 통해 기분을 전환해보는 건 어떨까요?","재밌게, 알차게",.,.,F,.
SNS에 비공개로 나의 마음 적어보기,SNS에 나의 마음을 표현할 때 더 발전적인 방향을 모색할 수 있어요.,"솔직하게, 진지하게",I,,.,.
"가장 친한 친구와 통화하면서, 웃고 떠들어보기",가장 친한 친구에게 나의 속마음을 털어보아요..,"솔직하게, 진지하게",E,S,.,.
SNS에 나의 마음 표현하기,"SNS에 나의 마음을 표현할 때, 더 발전적인 방향을 모색할 수 있어요. 오늘은 sns에 나의 마음을 솔직하게 표현해보아요.","솔직하게, 진지하게",E,,.,.
내게 주어진 일 더 열심히 하기,일을 할 때 잡생각이 사라지나요? 이번 기회에 밀린 일을 집중해서 끝내보아요.,"집중해서, 열심히",.,N,.,.
혼코노로 스트레스 풀기,혼자서 노래를 부를 때 마음이 괜찮아지나요? 오늘은 혼코노 어떤가요?,"진지하게, 솔직하게",I,.,.,.
혼자 여행하기,오늘은 어디론가 떠나고 싶지 않나요? 평소 가보고 싶었던 장소로 떠나보아요.,"스스로, 상쾌하게",I,.,.,.
SNS에 본인의 마음을 표현할 수 있는 표정을 올리기,"나의 마음을 표현할 때, 더 발전적인 방향을 모색할 수 있어요.","솔직하게, 진지하게",I,.,.,.
좋아하는 운동하기,"심리학 연구에 따르면, 운동은 빠른 시간 내에 기분을 좋게 하는 효과적인 도구입니다. 오늘은 좋아하는 운동을 하며, 기분을 전환해보아요!","열정적으로, 힘차게",E,.,.,.
새로운 만남 가지기,이별로 인해 사람과의 관계에 목마를 수 있어요. 오늘은 그동안 만나지 못했던 여러 사람과의 만남을 가지면서 새로운 관계를 형성해보아요!,"새롭게, 상쾌하게",E,.,.,.
친구와 노래방 가기,친구와 함께 노래방에 가서 시원하게 감정을 해소해보아요.,"열정적으로, 힘차게",E,.,.,.
친한 친구랑 여행가기,"친구와 가보고 싶었던 장소가 있나요? 함께 여행을 다니며, 기분을 전환해보아요.","신나게, 알차게",E,.,.,.
본인이 좋아하는 스포츠 시청하기,"오늘은, 평소 몰두해서 봐왔던 스포츠를 보면서 기분을 환기시켜보아요.","재밌게, 집중해서",E,.,.,.
전 연인의 SNS 염탐하지 않기,"전 연인의 SNS를 보면, 이별의 순간이 떠오르기 쉬워요. 오늘은 꾹 참아보아요.","조심스럽게, 주의해서",.,.,.,.
8시간 이상 잠자기,이별로 인해 잠을 잘 못 이룰 수 있어요. 오늘 잠을 푹 자는 것을 목표로 해보는 건 어떨까요?,"고요하게, 평안하게",.,.,.,.
사진 지우기,이전에 아팠던 순간들은 이제 떠나보내야 할 때입니다.,"과감하게, 깔끔하게",.,.,.,.
머리 다듬으러 가기,이별의 아픔으로 머리를 잘 관리하지 못했을 수 있어요. 이번 기회에 단정하게 혹은 원하는 스타일로 머리를 관리해보는 건 어떨까요?,"기분좋게, 상쾌하게",.,.,.,.
"부모님과 시간 보내기(여행가기, 밥 먹기 등)","부모님과 시간을 지내다보면, 마음이 괜찮아질 수도 있어요.","깊이있게, 진솔하게",.,.,.,.
심리학 전문가의 상담 받아보기,"이별 때문에 삶이 무기력해졌다면, 전문 상담을 받아보는 것도 좋은 방법이 될 수 있어요!","긴급하게, 진솔하게",.,.,.,.
핸드폰 잘 안 보기,"충전하지 않고, 핸드폰 배터 90% 이상 유지하기","도전적으로, 열정적으로",.,.,.,.
본인이 먹고 싶었던 음식 조리하기,그동안 배달음식을 자주 먹진 않았나요? 이번 기회를 통해 먹고 싶었던 음식을 직접 만들어보아요.,"맛있게, 신나게",.,.,.,.
바다 보러 가기,"오늘은, 가까운 바다에 가서 기분을 전환해보아요.","시원하게, 상쾌하게",.,,,